Name,Price,Comment,Shop,Type
香奈儿（Chanel） 香奈儿炫亮魅力丝绒唇膏口红咬唇妆保湿哑光持久不掉色57/99/62 138#粉红色_热情,￥235.00,4.1万+条评价,弗艾美妆专营店,"
闪购
券100-5赠 险"
卡婷（CATKIN） 卡婷长相思点绛口红哑光持久保湿防水不易脱色豆沙小辣椒学生国货 CR129 心头朱砂,￥89.90,8700+条评价,卡婷旗舰店,"
券199-20 险"
迪奥（Dior） 口红唇膏 魅惑唇膏001#+004#（两支组合装）,￥399.00,4.7万+条评价,优品美妆,"
京东物流
券699-20 险"
【专柜行货】雅诗兰黛女士口红 花漾倾慕唇膏3.5g420# 豆沙色 刘雯同款,￥228.00,3200+条评价,中美康健美妆专营店,"
京东物流
赠 "
纪梵希高定香榭天鹅绒唇膏303,￥354.00,5.7万+条评价,纪梵希（Givenchy）京东自营专区,"
自营
闪购
券500-50满499-150 "
魅可（M.A.C）口红mac头女士唇膏3g ruby woo 复古哑光红（哑光）,￥136.00,7000+条评价,卡布达美妆专营店,"
免邮
赠 险"
魅可（M.A.C） MAC/魅可号子弹头口红唇膏持久保湿 DUBONNET 牛血色（润泽）（赠面膜、赠唇膏）,￥136.00,5800+条评价,奴薇雅化妆品专营店,"
券699-20赠 险"
美宝莲（MAYBELLINE）绝色持久唇膏 纵情耀系列SOR05 3g（小灯管 桃花色 玻璃唇 绝色持久保湿）,￥116.00,13万+条评价,美宝莲京东自营官方旗舰店,"
自营
闪购
券159-30满199-100 "
圣罗兰（YSL） YSL圣罗兰女士口红唇膏 圆管shine12号 斩男色 52号星星色千颂伊色 圆管shine12#斩男色,￥245.10,2000+条评价,雯一美妆专营店,"
满499-100 险"
迪奥（Dior） 口红烈焰蓝金女士唇膏 999#-滋润-正红色,￥279.00,1000+条评价,西联美妆专营店,"
京东物流
赠 "
ZEESEA 滋色保湿口红是非不掉色不沾杯 唇膏滋润姿色枫叶红唇釉唇彩唇蜜套装 810#奶茶色,￥79.00,5.9万+条评价,ZEESEA旗舰店,"
京东物流
免邮
券168-10满148-73赠 险"
京东超市【第二支1元 第三支0元】魅力炫彩口红唇釉唇彩润唇膏不易沾杯 防水滋润持久保湿不易掉色 女士 蜜糖橘04,￥57.00,13万+条评价,悦宝莱雅斯兰蔻专卖店,"
京东物流
免邮
满114-56 险"
