Name,Price,Comment,Shop,Type
迪奥（Dior） Dior迪奥口红女士唇膏 烈艳蓝金 烈艳蓝金999#滋润赠礼盒礼袋,￥238.00,2.7万+条评价,弗艾美妆专营店,"
闪购
券500-60赠 "
【赠礼盒+手提袋+花】魅可（M.A.C）MAC口红显色唇膏 口红3g (子弹头) chili小辣椒01#,￥149.00,1.7万+条评价,希琳化妆品专营店,"
京东物流
券299-20 "
美宝莲（MAYBELLINE）绝色持久唇膏雾感哑光系列N05PM 3.9g（陈伟霆口红假正经新老包装）,￥106.00,28万+条评价,美宝莲京东自营官方旗舰店,"
自营
闪购
券159-30满199-100 "
圣罗兰（YSL）纯口红1#（正红色）,￥310.00,7.6万+条评价,YSL圣罗兰美妆京东自营专区,"
自营
闪购
满499-100 "
京东超市芭黎元素水晶之吻口红不掉色不沾杯润唇膏唇釉唇彩唇蜜女士防水保湿 经典红03,￥59.00,27万+条评价,芭黎元素姬俪雯专卖店,"
京东物流
免邮
满118-58 "
纪梵希（Givenchy）香榭高定天鹅绒唇膏306(又名：高级定制系列唇膏 小羊皮口红）（正红色）,￥344.00,5.7万+条评价,纪梵希（Givenchy）京东自营专区,"
自营
闪购
券500-50满499-150 "
美宝莲（MAYBELLINE）绝色持久唇膏雾感哑光系列R11PM 3.9g（陈伟霆口红魔性 新老包装）,￥106.00,28万+条评价,美宝莲京东自营官方旗舰店,"
自营
闪购
券159-30满199-100 "
圣罗兰（YSL）纯口红213#（哑光）,￥310.00,7.6万+条评价,,"
自营
闪购
券500-50满499-100 "
香奈儿（Chanel）香奈儿口红 哑光炫亮魅力唇膏 丝绒系列 63 43 57 58 172 176 43#珊瑚红【丝绒】,￥245.00,8000+条评价,妃漫美妆专营店,"
券200-10赠 "
香奈儿（Chanel） Chanel香奈儿口红女士 43#珊瑚红,￥298.00,4万+条评价,万尔化妆品专营店,"
京东物流
券599-20 "
迪奥（Dior） Dior迪奥口红女士唇膏 烈艳蓝金 烈艳蓝金999#哑光赠礼盒礼袋,￥238.00,2.7万+条评价,弗艾美妆专营店,"
闪购
券500-60赠 "
迪奥（Dior）烈艳蓝金唇膏口红3.5g 080(滋润保湿 妆感舒悦 微笑红色),￥285.00,13万+条评价,迪奥（Dior）美妆京东自营专区,"
自营
闪购
满499-100 "
美宝莲 MAYBELLINE 美宝莲super stay巨持色哑光液体唇膏 20勇气 复古正红色（口红 持久不掉色 ）,￥105.00,4.7万+条评价,美宝莲京东自营官方旗舰店,"
自营
闪购
券159-30满199-100 "
妮维雅(NIVEA)润唇膏修护型SPF15(新）4.8g（口红前打底 淡化唇纹）,￥25.00,47万+条评价,妮维雅（NIVEA）京东自营官方旗舰店,"
自营
闪购
券300-50每满199-100 "
